Identifier	Task start	Duration
ID68	2022.03.02 05:15	120
ID69	2022.03.02 05:15	120
ID70	2022.03.02 05:15	120
ID71	2022.03.02 05:15	120
ID72	2022.03.02 05:15	120
ID73	2022.03.02 05:20	120
ID74	2022.03.02 05:20	120
ID75	2022.03.02 05:20	120
ID76	2022.03.02 06:25	120
ID77	2022.03.02 06:25	120
ID78	2022.03.02 06:25	120
ID79	2022.03.02 08:35	120
ID80	2022.03.02 08:35	120
ID81	2022.03.02 08:35	120
ID82	2022.03.02 09:50	120
ID83	2022.03.02 09:50	120
ID84	2022.03.02 11:10	40
ID85	2022.03.02 11:00	120
ID86	2022.03.02 11:00	120
ID87	2022.03.02 11:00	120
ID88	2022.03.02 11:40	120
ID89	2022.03.02 11:40	120
ID90	2022.03.02 13:00	40
ID91	2022.03.02 14:00	120
ID92	2022.03.02 14:00	120
ID93	2022.03.02 15:05	120
ID94	2022.03.02 15:05	120
ID95	2022.03.02 15:05	120
ID96	2022.03.02 16:05	120
ID97	2022.03.02 16:05	120
ID98	2022.03.02 16:05	120
ID99	2022.03.02 16:10	120
ID100	2022.03.02 16:10	120
ID101	2022.03.02 16:10	120
ID102	2022.03.02 17:00	120
ID103	2022.03.02 17:00	120
ID104	2022.03.02 18:20	40
ID105	2022.03.02 17:35	120
ID106	2022.03.02 17:35	120
ID107	2022.03.03 03:10	120
ID108	2022.03.03 03:10	120
ID109	2022.03.03 03:10	120
ID110	2022.03.03 04:00	120
ID111	2022.03.03 04:00	120
ID112	2022.03.03 04:00	120
ID113	2022.03.03 04:10	120
ID114	2022.03.03 04:10	120
ID115	2022.03.03 04:25	120
ID116	2022.03.03 04:25	120
ID117	2022.03.03 04:30	120
ID118	2022.03.03 04:30	120
ID119	2022.03.03 04:30	120
ID120	2022.03.03 05:10	120
ID121	2022.03.03 05:10	120
ID122	2022.03.03 05:10	120
ID123	2022.03.03 05:10	120
ID124	2022.03.03 05:10	120
ID125	2022.03.03 05:10	120
ID126	2022.03.03 06:25	120
ID127	2022.03.03 06:25	120
ID128	2022.03.03 06:30	120
ID129	2022.03.03 06:30	120
ID130	2022.03.03 06:30	120
ID131	2022.03.03 08:35	120
ID132	2022.03.03 08:35	120
ID133	2022.03.03 08:35	120
ID134	2022.03.03 09:25	120
ID135	2022.03.03 09:25	120
ID136	2022.03.03 09:25	120
ID137	2022.03.03 09:50	120
ID138	2022.03.03 09:50	120
ID139	2022.03.03 11:10	40
ID140	2022.03.03 10:50	120
ID141	2022.03.03 10:50	120
ID142	2022.03.03 10:50	120
ID143	2022.03.03 11:40	120
ID144	2022.03.03 11:40	120
ID145	2022.03.03 13:00	40
ID146	2022.03.03 12:25	120
ID147	2022.03.03 12:25	120
ID148	2022.03.03 13:45	40
ID149	2022.03.03 14:00	120
ID150	2022.03.03 14:00	120
ID151	2022.03.03 16:10	120
ID152	2022.03.03 16:10	120
ID153	2022.03.03 16:10	120
ID154	2022.03.03 16:15	120
ID155	2022.03.03 16:15	120
ID156	2022.03.03 16:15	120
ID157	2022.03.03 16:30	120
ID158	2022.03.03 16:30	120
ID159	2022.03.03 16:30	120
ID160	2022.03.03 16:55	120
ID161	2022.03.03 16:55	120
ID162	2022.03.03 16:55	120
ID163	2022.03.03 17:00	120
ID164	2022.03.03 17:00	120
ID165	2022.03.03 18:20	40
ID166	2022.03.03 17:35	120
ID167	2022.03.03 17:35	120
ID168	2022.03.03 17:40	120
ID169	2022.03.03 17:45	120
ID170	2022.03.03 17:45	120
ID171	2022.03.03 17:45	120
ID172	2022.03.04 03:10	120
ID173	2022.03.04 03:10	120
ID174	2022.03.04 03:10	120
ID175	2022.03.04 03:30	120
ID176	2022.03.04 03:30	120
ID177	2022.03.04 03:30	120
ID178	2022.03.04 04:10	120
ID179	2022.03.04 04:10	120
ID180	2022.03.04 04:10	120
ID181	2022.03.04 04:20	120
ID182	2022.03.04 04:20	120
ID183	2022.03.04 04:25	120
ID184	2022.03.04 04:25	120
ID185	2022.03.04 05:10	120
ID186	2022.03.04 05:10	120
ID187	2022.03.04 05:10	120
ID188	2022.03.04 05:15	120
ID189	2022.03.04 05:15	120
ID190	2022.03.04 05:15	120
ID191	2022.03.04 05:25	120
ID192	2022.03.04 05:25	120
ID193	2022.03.04 05:25	120
ID194	2022.03.04 05:40	120
ID195	2022.03.04 05:40	120
ID196	2022.03.04 05:40	120
ID197	2022.03.04 08:35	120
ID198	2022.03.04 08:35	120
ID199	2022.03.04 08:35	120
ID200	2022.03.04 09:05	120
ID201	2022.03.04 09:05	120
ID202	2022.03.04 09:05	120
ID203	2022.03.04 09:50	120
ID204	2022.03.04 09:50	120
ID205	2022.03.04 11:10	40
ID206	2022.03.04 10:25	120
ID207	2022.03.04 10:25	120
ID208	2022.03.04 10:25	120
ID209	2022.03.04 11:00	120
ID210	2022.03.04 11:00	120
ID211	2022.03.04 11:00	120
ID212	2022.03.04 11:40	120
ID213	2022.03.04 11:40	120
ID214	2022.03.04 13:00	40
ID215	2022.03.04 12:30	120
ID216	2022.03.04 12:30	120
ID217	2022.03.04 13:50	40
ID218	2022.03.04 12:35	120
ID219	2022.03.04 12:35	120
ID220	2022.03.04 12:35	120
ID221	2022.03.04 14:25	120
ID222	2022.03.04 14:25	120
ID223	2022.03.04 14:25	120
ID224	2022.03.04 15:05	120
ID225	2022.03.04 15:05	120
ID226	2022.03.04 15:05	120
ID227	2022.03.04 15:35	120
ID228	2022.03.04 15:35	120
ID229	2022.03.04 15:40	120
ID230	2022.03.04 16:10	120
ID231	2022.03.04 16:10	120
ID232	2022.03.04 16:10	120
ID233	2022.03.04 17:00	120
ID234	2022.03.04 17:00	120
ID235	2022.03.04 18:20	40
ID236	2022.03.04 17:45	120
ID237	2022.03.04 17:45	120
ID238	2022.03.04 17:45	120
ID239	2022.03.05 03:10	120
ID240	2022.03.05 03:10	120
ID241	2022.03.05 03:10	120
ID242	2022.03.05 04:00	120
ID243	2022.03.05 04:00	120
ID244	2022.03.05 04:00	120
ID245	2022.03.05 04:10	120
ID246	2022.03.05 04:10	120
ID247	2022.03.05 04:25	120
ID248	2022.03.05 04:25	120
ID249	2022.03.05 05:00	120
ID250	2022.03.05 05:00	120
ID251	2022.03.05 05:00	120
ID252	2022.03.05 05:10	120
ID253	2022.03.05 05:10	120
ID254	2022.03.05 05:10	120
ID255	2022.03.05 05:15	120
ID256	2022.03.05 05:15	120
ID257	2022.03.05 05:15	120
ID258	2022.03.05 06:25	120
ID259	2022.03.05 06:25	120
ID260	2022.03.05 08:35	120
ID261	2022.03.05 08:35	120
ID262	2022.03.05 08:35	120
ID263	2022.03.05 08:55	120
ID264	2022.03.05 08:55	120
ID265	2022.03.05 10:15	40
ID266	2022.03.05 11:40	120
ID267	2022.03.05 11:40	120
ID268	2022.03.05 13:00	40
ID269	2022.03.05 12:20	120
ID270	2022.03.05 12:20	120
ID271	2022.03.05 13:40	40
ID272	2022.03.05 14:25	120
ID273	2022.03.05 14:25	120
ID274	2022.03.05 15:05	120
ID275	2022.03.05 15:05	120
ID276	2022.03.05 15:05	120
ID277	2022.03.05 15:05	120
ID278	2022.03.05 15:05	120
ID279	2022.03.05 15:05	120
ID280	2022.03.05 16:10	120
ID281	2022.03.05 16:10	120
ID282	2022.03.05 16:30	120
ID283	2022.03.05 16:30	120
ID284	2022.03.05 16:30	120
ID285	2022.03.05 16:30	120
ID286	2022.03.05 16:30	120
ID287	2022.03.05 16:30	120
ID288	2022.03.05 16:55	120
ID289	2022.03.05 16:55	120
ID290	2022.03.05 16:55	120
ID291	2022.03.05 17:00	120
ID292	2022.03.05 17:00	120
ID293	2022.03.05 18:20	40
ID294	2022.03.05 17:45	120
ID295	2022.03.05 17:45	120
ID296	2022.03.05 17:45	120
ID297	2022.03.06 03:10	120
ID298	2022.03.06 03:10	120
ID299	2022.03.06 03:10	120
ID300	2022.03.06 04:00	120
ID301	2022.03.06 04:00	120
ID302	2022.03.06 04:00	120
ID303	2022.03.06 04:10	120
ID304	2022.03.06 04:10	120
ID305	2022.03.06 04:25	120
ID306	2022.03.06 04:25	120
ID307	2022.03.06 04:30	120
ID308	2022.03.06 04:30	120
ID309	2022.03.06 04:30	120
ID310	2022.03.06 05:10	120
ID311	2022.03.06 05:10	120
ID312	2022.03.06 05:10	120
ID313	2022.03.06 05:10	120
ID314	2022.03.06 05:10	120
ID315	2022.03.06 05:10	120
ID316	2022.03.06 05:15	120
ID317	2022.03.06 05:15	120
ID318	2022.03.06 05:15	120
ID319	2022.03.06 06:25	120
ID320	2022.03.06 06:25	120
ID321	2022.03.06 06:30	120
ID322	2022.03.06 06:30	120
ID323	2022.03.06 06:30	120
ID324	2022.03.06 08:35	120
ID325	2022.03.06 08:35	120
ID326	2022.03.06 08:35	120
ID327	2022.03.06 09:50	120
ID328	2022.03.06 09:50	120
ID329	2022.03.06 11:10	40
ID330	2022.03.06 10:50	120
ID331	2022.03.06 10:50	120
ID332	2022.03.06 10:50	120
ID333	2022.03.06 11:40	120
ID334	2022.03.06 11:40	120
ID335	2022.03.06 13:00	40
ID336	2022.03.06 12:25	120
ID337	2022.03.06 12:25	120
ID338	2022.03.06 13:45	40
ID339	2022.03.06 14:00	120
ID340	2022.03.06 14:00	120
ID341	2022.03.06 15:05	120
ID342	2022.03.06 15:05	120
ID343	2022.03.06 15:05	120
ID344	2022.03.06 15:40	120
ID345	2022.03.06 16:10	120
ID346	2022.03.06 16:10	120
ID347	2022.03.06 16:10	120
ID348	2022.03.06 16:15	120
ID349	2022.03.06 16:15	120
ID350	2022.03.06 16:15	120
ID351	2022.03.06 16:30	120
ID352	2022.03.06 16:30	120
ID353	2022.03.06 16:30	120
ID354	2022.03.06 17:00	120
ID355	2022.03.06 17:00	120
ID356	2022.03.06 18:20	40
ID357	2022.03.06 17:35	120
ID358	2022.03.06 17:35	120
ID359	2022.03.06 17:45	120
ID360	2022.03.06 17:45	120
ID361	2022.03.06 17:45	120
ID362	2022.03.07 03:10	120
ID363	2022.03.07 03:10	120
ID364	2022.03.07 03:10	120
ID365	2022.03.07 04:10	120
ID366	2022.03.07 04:10	120
ID367	2022.03.07 05:30	40
ID368	2022.03.07 04:20	120
ID369	2022.03.07 04:20	120
ID370	2022.03.07 05:40	40
ID371	2022.03.07 04:25	120
ID372	2022.03.07 04:25	120
ID373	2022.03.07 05:10	120
ID374	2022.03.07 05:10	120
ID375	2022.03.07 05:15	120
ID376	2022.03.07 05:15	120
ID377	2022.03.07 05:15	120
ID378	2022.03.07 05:15	120
ID379	2022.03.07 05:15	120
ID380	2022.03.07 05:15	120
ID381	2022.03.07 05:40	120
ID382	2022.03.07 05:40	120
ID383	2022.03.07 07:00	40
ID384	2022.03.07 06:25	120
ID385	2022.03.07 06:25	120
ID386	2022.03.07 06:25	120
ID387	2022.03.07 08:35	120
ID388	2022.03.07 08:35	120
ID389	2022.03.07 08:35	120
ID390	2022.03.07 09:05	120
ID391	2022.03.07 09:05	120
ID392	2022.03.07 09:05	120
ID393	2022.03.07 09:25	120
ID394	2022.03.07 09:25	120
ID395	2022.03.07 09:25	120
ID396	2022.03.07 09:50	120
ID397	2022.03.07 09:50	120
ID398	2022.03.07 11:10	40
ID399	2022.03.07 11:00	120
ID400	2022.03.07 11:00	120
ID401	2022.03.07 11:00	120
ID402	2022.03.07 11:40	120
ID403	2022.03.07 11:40	120
ID404	2022.03.07 13:00	40
ID405	2022.03.07 12:30	120
ID406	2022.03.07 12:30	120
ID407	2022.03.07 13:50	40
ID408	2022.03.07 14:00	120
ID409	2022.03.07 14:00	120
ID410	2022.03.07 14:25	120
ID411	2022.03.07 14:25	120
ID412	2022.03.07 15:35	120
ID413	2022.03.07 15:35	120
ID414	2022.03.07 15:35	120
ID415	2022.03.07 16:05	120
ID416	2022.03.07 16:05	120
ID417	2022.03.07 16:05	120
ID418	2022.03.07 16:10	120
ID419	2022.03.07 16:10	120
ID420	2022.03.07 16:10	120
ID421	2022.03.07 17:00	120
ID422	2022.03.07 17:00	120
ID423	2022.03.07 18:20	40
ID424	2022.03.07 17:35	120
ID425	2022.03.07 17:35	120
ID426	2022.03.08 03:10	120
ID427	2022.03.08 03:10	120
ID428	2022.03.08 03:10	120
ID429	2022.03.08 04:00	120
ID430	2022.03.08 04:00	120
ID431	2022.03.08 04:00	120
ID432	2022.03.08 04:10	120
ID433	2022.03.08 04:10	120
ID434	2022.03.08 04:25	120
ID435	2022.03.08 04:25	120
ID436	2022.03.08 05:00	120
ID437	2022.03.08 05:00	120
ID438	2022.03.08 05:00	120
ID439	2022.03.08 05:15	120
ID440	2022.03.08 05:15	120
ID441	2022.03.08 05:15	120
ID442	2022.03.08 06:25	120
ID443	2022.03.08 06:25	120
ID444	2022.03.08 08:35	120
ID445	2022.03.08 08:35	120
ID446	2022.03.08 08:35	120
ID447	2022.03.08 09:50	120
ID448	2022.03.08 09:50	120
ID449	2022.03.08 11:10	40
ID450	2022.03.08 11:40	120
ID451	2022.03.08 11:40	120
ID452	2022.03.08 13:00	40
ID453	2022.03.08 12:20	120
ID454	2022.03.08 12:20	120
ID455	2022.03.08 13:40	40
ID456	2022.03.08 14:00	120
ID457	2022.03.08 14:00	120
ID458	2022.03.08 15:05	120
ID459	2022.03.08 15:05	120
ID460	2022.03.08 15:05	120
ID461	2022.03.08 15:05	120
ID462	2022.03.08 15:05	120
ID463	2022.03.08 15:05	120
ID464	2022.03.08 15:40	120
ID465	2022.03.08 16:10	120
ID466	2022.03.08 16:10	120
ID467	2022.03.08 16:30	120
ID468	2022.03.08 16:30	120
ID469	2022.03.08 16:30	120
ID470	2022.03.08 16:30	120
ID471	2022.03.08 16:30	120
ID472	2022.03.08 16:30	120
ID473	2022.03.08 17:00	120
ID474	2022.03.08 17:00	120
ID475	2022.03.08 18:20	40
ID476	2022.03.08 17:35	120
ID477	2022.03.08 17:35	120
ID478	2022.03.08 17:45	120
ID479	2022.03.08 17:45	120
ID480	2022.03.08 17:45	120
ID481	2022.03.09 03:10	120
ID482	2022.03.09 03:10	120
ID483	2022.03.09 03:10	120
ID484	2022.03.09 04:10	120
ID485	2022.03.09 04:10	120
ID486	2022.03.09 04:10	120
ID487	2022.03.09 04:25	120
ID488	2022.03.09 04:25	120
ID489	2022.03.09 05:10	120
ID490	2022.03.09 05:10	120
ID491	2022.03.09 05:15	120
ID492	2022.03.09 05:15	120
ID493	2022.03.09 05:15	120
ID494	2022.03.09 05:15	120
ID495	2022.03.09 05:15	120
ID496	2022.03.09 05:15	120
ID497	2022.03.09 05:20	120
ID498	2022.03.09 05:20	120
ID499	2022.03.09 05:20	120
ID500	2022.03.09 06:25	120
ID501	2022.03.09 06:25	120
ID502	2022.03.09 06:25	120
ID503	2022.03.09 08:35	120
ID504	2022.03.09 08:35	120
ID505	2022.03.09 08:35	120
ID506	2022.03.09 09:50	120
ID507	2022.03.09 09:50	120
ID508	2022.03.09 11:10	40
ID509	2022.03.09 11:00	120
ID510	2022.03.09 11:00	120
ID511	2022.03.09 11:00	120
ID512	2022.03.09 11:40	120
ID513	2022.03.09 11:40	120
ID514	2022.03.09 13:00	40
ID515	2022.03.09 14:00	120
ID516	2022.03.09 14:00	120
ID517	2022.03.09 15:05	120
ID518	2022.03.09 15:05	120
ID519	2022.03.09 15:05	120
ID520	2022.03.09 16:05	120
ID521	2022.03.09 16:05	120
ID522	2022.03.09 16:05	120
ID523	2022.03.09 16:10	120
ID524	2022.03.09 16:10	120
ID525	2022.03.09 16:10	120
ID526	2022.03.09 17:00	120
ID527	2022.03.09 17:00	120
ID528	2022.03.09 18:20	40
ID529	2022.03.09 17:35	120
ID530	2022.03.09 17:35	120
ID531	2022.03.10 03:10	120
ID532	2022.03.10 03:10	120
ID533	2022.03.10 03:10	120
ID534	2022.03.10 04:00	120
ID535	2022.03.10 04:00	120
ID536	2022.03.10 04:00	120
ID537	2022.03.10 04:10	120
ID538	2022.03.10 04:10	120
ID539	2022.03.10 04:25	120
ID540	2022.03.10 04:25	120
ID541	2022.03.10 04:30	120
ID542	2022.03.10 04:30	120
ID543	2022.03.10 04:30	120
ID544	2022.03.10 05:10	120
ID545	2022.03.10 05:10	120
ID546	2022.03.10 05:10	120
ID547	2022.03.10 05:10	120
ID548	2022.03.10 05:10	120
ID549	2022.03.10 05:10	120
ID550	2022.03.10 06:25	120
ID551	2022.03.10 06:25	120
ID552	2022.03.10 06:30	120
ID553	2022.03.10 06:30	120
ID554	2022.03.10 06:30	120
ID555	2022.03.10 08:35	120
ID556	2022.03.10 08:35	120
ID557	2022.03.10 08:35	120
ID558	2022.03.10 09:25	120
ID559	2022.03.10 09:25	120
ID560	2022.03.10 09:25	120
ID561	2022.03.10 09:50	120
ID562	2022.03.10 09:50	120
ID563	2022.03.10 11:10	40
ID564	2022.03.10 10:50	120
ID565	2022.03.10 10:50	120
ID566	2022.03.10 10:50	120
ID567	2022.03.10 11:40	120
ID568	2022.03.10 11:40	120
ID569	2022.03.10 13:00	40
ID570	2022.03.10 12:25	120
ID571	2022.03.10 12:25	120
ID572	2022.03.10 13:45	40
ID573	2022.03.10 14:00	120
ID574	2022.03.10 14:00	120
ID575	2022.03.10 16:10	120
ID576	2022.03.10 16:10	120
ID577	2022.03.10 16:10	120
ID578	2022.03.10 16:15	120
ID579	2022.03.10 16:15	120
ID580	2022.03.10 16:15	120
ID581	2022.03.10 16:30	120
ID582	2022.03.10 16:30	120
ID583	2022.03.10 16:30	120
ID584	2022.03.10 16:55	120
ID585	2022.03.10 16:55	120
ID586	2022.03.10 16:55	120
ID587	2022.03.10 17:00	120
ID588	2022.03.10 17:00	120
ID589	2022.03.10 18:20	40
ID590	2022.03.10 17:35	120
ID591	2022.03.10 17:35	120
ID592	2022.03.10 17:40	120
ID593	2022.03.10 17:45	120
ID594	2022.03.10 17:45	120
ID595	2022.03.10 17:45	120
ID596	2022.03.11 03:10	120
ID597	2022.03.11 03:10	120
ID598	2022.03.11 03:10	120
ID599	2022.03.11 03:30	120
ID600	2022.03.11 03:30	120
ID601	2022.03.11 03:30	120
ID602	2022.03.11 04:10	120
ID603	2022.03.11 04:10	120
ID604	2022.03.11 04:10	120
ID605	2022.03.11 04:20	120
ID606	2022.03.11 04:20	120
ID607	2022.03.11 04:25	120
ID608	2022.03.11 04:25	120
ID609	2022.03.11 05:10	120
ID610	2022.03.11 05:10	120
ID611	2022.03.11 05:10	120
ID612	2022.03.11 05:15	120
ID613	2022.03.11 05:15	120
ID614	2022.03.11 05:15	120
ID615	2022.03.11 05:25	120
ID616	2022.03.11 05:25	120
ID617	2022.03.11 05:25	120
ID618	2022.03.11 05:40	120
ID619	2022.03.11 05:40	120
ID620	2022.03.11 05:40	120
ID621	2022.03.11 08:35	120
ID622	2022.03.11 08:35	120
ID623	2022.03.11 08:35	120
ID624	2022.03.11 09:05	120
ID625	2022.03.11 09:05	120
ID626	2022.03.11 09:05	120
ID627	2022.03.11 09:50	120
ID628	2022.03.11 09:50	120
ID629	2022.03.11 11:10	40
ID630	2022.03.11 10:25	120
ID631	2022.03.11 10:25	120
ID632	2022.03.11 10:25	120
ID633	2022.03.11 11:00	120
ID634	2022.03.11 11:00	120
ID635	2022.03.11 11:00	120
ID636	2022.03.11 11:40	120
ID637	2022.03.11 11:40	120
ID638	2022.03.11 13:00	40
ID639	2022.03.11 12:30	120
ID640	2022.03.11 12:30	120
ID641	2022.03.11 13:50	40
ID642	2022.03.11 12:35	120
ID643	2022.03.11 12:35	120
ID644	2022.03.11 12:35	120
ID645	2022.03.11 14:25	120
ID646	2022.03.11 14:25	120
ID647	2022.03.11 14:25	120
ID648	2022.03.11 15:05	120
ID649	2022.03.11 15:05	120
ID650	2022.03.11 15:05	120
ID651	2022.03.11 15:35	120
ID652	2022.03.11 15:35	120
ID653	2022.03.11 15:40	120
ID654	2022.03.11 16:10	120
ID655	2022.03.11 16:10	120
ID656	2022.03.11 16:10	120
ID657	2022.03.11 17:00	120
ID658	2022.03.11 17:00	120
ID659	2022.03.11 18:20	40
ID660	2022.03.11 17:45	120
ID661	2022.03.11 17:45	120
ID662	2022.03.11 17:45	120
ID663	2022.03.12 03:10	120
ID664	2022.03.12 03:10	120
ID665	2022.03.12 03:10	120
ID666	2022.03.12 04:00	120
ID667	2022.03.12 04:00	120
ID668	2022.03.12 04:00	120
ID669	2022.03.12 04:10	120
ID670	2022.03.12 04:10	120
ID671	2022.03.12 04:25	120
ID672	2022.03.12 04:25	120
ID673	2022.03.12 05:00	120
ID674	2022.03.12 05:00	120
ID675	2022.03.12 05:00	120
ID676	2022.03.12 05:10	120
ID677	2022.03.12 05:10	120
ID678	2022.03.12 05:10	120
ID679	2022.03.12 05:15	120
ID680	2022.03.12 05:15	120
ID681	2022.03.12 05:15	120
ID682	2022.03.12 06:25	120
ID683	2022.03.12 06:25	120
ID684	2022.03.12 08:35	120
ID685	2022.03.12 08:35	120
ID686	2022.03.12 08:35	120
ID687	2022.03.12 08:55	120
ID688	2022.03.12 08:55	120
ID689	2022.03.12 10:15	40
ID690	2022.03.12 11:40	120
ID691	2022.03.12 11:40	120
ID692	2022.03.12 13:00	40
ID693	2022.03.12 12:20	120
ID694	2022.03.12 12:20	120
ID695	2022.03.12 13:40	40
ID696	2022.03.12 14:25	120
ID697	2022.03.12 14:25	120
ID698	2022.03.12 15:05	120
ID699	2022.03.12 15:05	120
ID700	2022.03.12 15:05	120
ID701	2022.03.12 15:05	120
ID702	2022.03.12 15:05	120
ID703	2022.03.12 15:05	120
ID704	2022.03.12 16:10	120
ID705	2022.03.12 16:10	120
ID706	2022.03.12 16:30	120
ID707	2022.03.12 16:30	120
ID708	2022.03.12 16:30	120
ID709	2022.03.12 16:30	120
ID710	2022.03.12 16:30	120
ID711	2022.03.12 16:30	120
ID712	2022.03.12 16:55	120
ID713	2022.03.12 16:55	120
ID714	2022.03.12 16:55	120
ID715	2022.03.12 17:00	120
ID716	2022.03.12 17:00	120
ID717	2022.03.12 17:00	120
ID718	2022.03.12 17:45	120
ID719	2022.03.12 17:45	120
ID720	2022.03.12 17:45	120
ID721	2022.03.13 03:10	120
ID722	2022.03.13 03:10	120
ID723	2022.03.13 03:10	120
ID724	2022.03.13 04:00	120
ID725	2022.03.13 04:00	120
ID726	2022.03.13 04:00	120
ID727	2022.03.13 04:10	120
ID728	2022.03.13 04:10	120
ID729	2022.03.13 04:25	120
ID730	2022.03.13 04:25	120
ID731	2022.03.13 04:30	120
ID732	2022.03.13 04:30	120
ID733	2022.03.13 04:30	120
ID734	2022.03.13 05:10	120
ID735	2022.03.13 05:10	120
ID736	2022.03.13 05:10	120
ID737	2022.03.13 05:10	120
ID738	2022.03.13 05:10	120
ID739	2022.03.13 05:10	120
ID740	2022.03.13 05:15	120
ID741	2022.03.13 05:15	120
ID742	2022.03.13 05:15	120
ID743	2022.03.13 06:25	120
ID744	2022.03.13 06:25	120
ID745	2022.03.13 06:30	120
ID746	2022.03.13 06:30	120
ID747	2022.03.13 06:30	120
ID748	2022.03.13 08:35	120
ID749	2022.03.13 08:35	120
ID750	2022.03.13 08:35	120
ID751	2022.03.13 09:50	120
ID752	2022.03.13 09:50	120
ID753	2022.03.13 11:10	40
ID754	2022.03.13 10:50	120
ID755	2022.03.13 10:50	120
ID756	2022.03.13 10:50	120
ID757	2022.03.13 11:40	120
ID758	2022.03.13 11:40	120
ID759	2022.03.13 13:00	40
ID760	2022.03.13 12:25	120
ID761	2022.03.13 12:25	120
ID762	2022.03.13 13:45	40
ID763	2022.03.13 14:00	120
ID764	2022.03.13 14:00	120
ID765	2022.03.13 15:05	120
ID766	2022.03.13 15:05	120
ID767	2022.03.13 15:05	120
ID768	2022.03.13 15:40	120
ID769	2022.03.13 16:10	120
ID770	2022.03.13 16:10	120
ID771	2022.03.13 16:10	120
ID772	2022.03.13 16:15	120
ID773	2022.03.13 16:15	120
ID774	2022.03.13 16:15	120
ID775	2022.03.13 16:30	120
ID776	2022.03.13 16:30	120
ID777	2022.03.13 16:30	120
ID778	2022.03.13 17:00	120
ID779	2022.03.13 17:00	120
ID780	2022.03.13 18:20	40
ID781	2022.03.13 17:35	120
ID782	2022.03.13 17:35	120
ID783	2022.03.13 17:45	120
ID784	2022.03.13 17:45	120
ID785	2022.03.13 17:45	120
ID786	2022.03.14 03:10	120
ID787	2022.03.14 03:10	120
ID788	2022.03.14 03:10	120
ID789	2022.03.14 04:10	120
ID790	2022.03.14 04:10	120
ID791	2022.03.14 05:30	40
ID792	2022.03.14 04:20	120
ID793	2022.03.14 04:20	120
ID794	2022.03.14 05:40	40
ID795	2022.03.14 04:25	120
ID796	2022.03.14 04:25	120
ID797	2022.03.14 05:10	120
ID798	2022.03.14 05:10	120
ID799	2022.03.14 05:10	120
ID800	2022.03.14 05:15	120
ID801	2022.03.14 05:15	120
ID802	2022.03.14 05:15	120
ID803	2022.03.14 05:15	120
ID804	2022.03.14 05:15	120
ID805	2022.03.14 05:15	120
ID806	2022.03.14 05:40	120
ID807	2022.03.14 05:40	120
ID808	2022.03.14 07:00	40
ID809	2022.03.14 06:25	120
ID810	2022.03.14 06:25	120
ID811	2022.03.14 06:25	120
ID812	2022.03.14 08:35	120
ID813	2022.03.14 08:35	120
ID814	2022.03.14 08:35	120
ID815	2022.03.14 09:05	120
ID816	2022.03.14 09:05	120
ID817	2022.03.14 09:05	120
ID818	2022.03.14 09:25	120
ID819	2022.03.14 09:25	120
ID820	2022.03.14 09:25	120
ID821	2022.03.14 09:50	120
ID822	2022.03.14 09:50	120
